nome,sobrenome,disciplina,professor,nota
Jacob,Baker,portugues,Patricia,C
Jacob,Baker,ingles,Michael,B
Jacob,Baker,matematica,Charles,C
Theresa,Gibson,historia,Carol,D
Theresa,Gibson,geografia,Ruth,B
Theresa,Gibson,ingles,Susan,B
Alison,Jackson,biologia,William,B
Alison,Jackson,ingles,Michael,B
Wanda,Ross,artes,Kenneth,A
Wanda,Ross,portugues,Margaret,C
Wanda,Ross,matematica,John,C
Jennifer,Pullman,geografia,Ruth,D
Jennifer,Pullman,filosofia,George,C
Jason,Turner,biologia,William,B
Jason,Turner,sociologia,Bertie,D
Ian,Nash,matematica,Paul,A
Ian,Nash,ciencias,Donna,B
Ian,Nash,biologia,Sarah,D
Thomas,Peake,ingles,Karen,B
Thomas,Peake,geografia,Ruth,B
Thomas,Peake,historia,Carol,A
Pippa,Hunter,ciencias,Donna,D
Pippa,Hunter,filosofia,George,B
Pippa,Hunter,portugues,Margaret,A
Ryan,Randall,espanhol,Robert,B
Ryan,Randall,historia,Carol,D
Ryan,Randall,ciencias,Donna,B
Boris,Hodges,biologia,William,A
Boris,Hodges,artes,Brian,B
Boris,Hodges,matematica,Paul,C
Bella,Marshall,historia,Carol,C
Bella,Marshall,espanhol,Robert,D
Bella,Marshall,sociologia,Bertie,A
Audrey,Hardacre,sociologia,Bertie,C
Audrey,Hardacre,ingles,Karen,C
Stewart,Greene,geografia,Ruth,A
Stewart,Greene,matematica,Donald,B
Max,Sutherland,geografia,Dorothy,B
Max,Sutherland,artes,Kenneth,B
Max,Sutherland,portugues,Patricia,C
Jessica,Nolan,artes,Kenneth,D
Jessica,Nolan,ingles,Susan,D
John,Burgess,matematica,Paul,D
John,Burgess,historia,Carol,D
John,Burgess,sociologia,Bertie,B
Sonia,Hemmings,geografia,Ruth,D
Sonia,Hemmings,matematica,John,C
Max,Wright,espanhol,Robert,D
Max,Wright,geografia,Ruth,B
Max,Wright,biologia,William,A
Lily,Kerr,geografia,Dorothy,C
Lily,Kerr,biologia,William,D
Lily,Kerr,matematica,Charles,A
Max,Bell,biologia,William,A
Max,Bell,ciencias,Donna,C
Max,Bell,portugues,Patricia,D
Amanda,Marshall,sociologia,Bertie,A
Amanda,Marshall,artes,Brian,A
Amanda,Marshall,filosofia,George,C
Isaac,Payne,sociologia,Bertie,B
Isaac,Payne,matematica,Charles,A
Isaac,Payne,historia,Carol,C
Irene,Morrison,ciencias,Donna,A
Irene,Morrison,portugues,Patricia,C
Irene,Morrison,matematica,Donald,A
Evan,Simpson,filosofia,George,D
Evan,Simpson,matematica,John,A
Evan,Simpson,artes,Kenneth,D
Rachel,Fraser,matematica,Paul,D
Rachel,Fraser,geografia,Dorothy,A
Rachel,Fraser,espanhol,Robert,D
Faith,Thomson,historia,Carol,C
Faith,Thomson,portugues,Margaret,D
Joan,Nash,matematica,Paul,C
Deirdre,Jackson,artes,Kenneth,B
Deirdre,Jackson,sociologia,Bertie,C
Deirdre,Jackson,geografia,Ruth,B
Melanie,Rutherford,geografia,Dorothy,A
Melanie,Rutherford,filosofia,George,C
Tim,Lewis,portugues,Margaret,C
Tim,Lewis,biologia,Sarah,C
Sophie,Kelly,ingles,Karen,D
Sophie,Kelly,matematica,Charles,A
Sophie,Kelly,artes,Kenneth,A
Oliver,Dyer,geografia,Dorothy,A
Oliver,Dyer,ciencias,Donna,B
Phil,Morrison,geografia,Ruth,B
Phil,Morrison,biologia,William,B
Tim,Newman,ciencias,Donna,B
Tim,Newman,artes,Brian,C
Brian,Lawrence,biologia,William,B
Brian,Lawrence,ingles,Susan,B
Brian,Lawrence,artes,Kenneth,C
Jennifer,Nolan,portugues,Elizabeth,A
Jennifer,Nolan,espanhol,Robert,C
Jennifer,Nolan,ingles,Susan,A
Michelle,Wright,historia,Carol,A
Michelle,Wright,filosofia,George,A
Michelle,Wright,portugues,Patricia,D
John,Hart,geografia,Ruth,B
John,Hart,espanhol,Robert,B
John,Hart,ingles,Michael,D
Robert,Underwood,filosofia,George,B
Robert,Underwood,ciencias,Donna,C
Ian,May,historia,Carol,B
Ian,May,ingles,Karen,A
Sue,Thomson,portugues,Margaret,A
Sue,Thomson,geografia,Ruth,B
Sue,Thomson,espanhol,Robert,A
